Time,Temperature (°C),Humidity (%),Status
15:36:15,30.2,48.0,FAILURE
15:36:18,30.2,48.0,FAILURE
15:36:19,30.2,48.0,FAILURE
15:36:22,30.2,48.0,FAILURE
15:36:23,30.2,48.0,FAILURE
15:36:26,30.2,48.0,FAILURE
15:36:27,30.2,48.0,FAILURE
15:36:30,30.2,48.0,FAILURE
15:36:31,30.2,48.0,FAILURE
15:36:34,30.2,48.0,FAILURE
15:36:35,30.2,48.0,FAILURE
15:36:38,30.2,48.0,FAILURE
15:36:39,30.1,48.0,FAILURE
15:36:42,30.1,48.0,FAILURE
15:36:43,30.1,48.0,FAILURE
15:36:46,30.1,48.0,FAILURE
15:36:47,30.1,48.0,FAILURE
15:36:50,30.1,48.0,FAILURE
15:36:52,30.1,47.0,FAILURE
15:36:55,30.1,47.0,FAILURE
15:36:56,30.1,47.0,FAILURE
15:36:59,30.1,47.0,FAILURE
15:37:00,30.1,47.0,FAILURE
15:37:03,30.1,47.0,FAILURE
15:37:04,30.1,47.0,FAILURE
15:37:07,30.1,47.0,FAILURE
15:37:08,30.1,47.0,FAILURE
15:37:11,30.1,47.0,FAILURE
15:37:12,30.1,47.0,FAILURE
15:37:15,30.1,47.0,FAILURE
15:37:16,30.1,47.0,FAILURE
15:37:19,30.1,47.0,FAILURE
15:37:20,30.1,47.0,FAILURE
15:37:23,30.1,47.0,FAILURE
15:37:24,30.1,47.0,FAILURE
15:37:27,30.1,47.0,FAILURE
15:37:28,30.1,47.0,FAILURE
15:37:31,30.1,47.0,FAILURE
15:37:32,30.1,47.0,FAILURE
15:37:35,30.1,47.0,FAILURE
15:37:36,30.1,47.0,FAILURE
15:37:39,30.1,47.0,FAILURE
15:37:40,30.1,47.0,FAILURE
15:37:43,30.1,47.0,FAILURE
15:37:44,30.1,47.0,FAILURE
15:37:47,30.1,47.0,FAILURE
15:37:48,30.1,47.0,FAILURE
15:37:51,30.1,48.0,FAILURE
15:37:52,30.1,48.0,FAILURE
15:37:55,30.1,48.0,FAILURE
15:37:56,30.1,48.0,FAILURE
15:37:59,30.1,48.0,FAILURE
